name,state,facility_type
"Chilton County Jail","AL","Chilton County Jail"
"Cochise Regional Parole Office","AZ","Community Supervision"
"Electronic Monitoring Unit","AZ","Community Supervision"
"Flagstaff Parole Office","AZ","Community Supervision"
"Kingman Parole Office","AZ","Community Supervision"
"Mesa Regional Parole Office","AZ","Community Supervision"
"Northeastern Maricopa Parole Office","AZ","Community Supervision"
"Pinal Regional Parole Office","AZ","Community Supervision"
"Prescott Valley Parole Office","AZ","Community Supervision"
"Safford Parole Office","AZ","Community Supervision"
"Snowflake Parole Office","AZ","Community Supervision"
"Tucson Regional Parole Office","AZ","Community Supervision"
"Western Regional Parole Office","AZ","Community Supervision"
"Yuma Parole Office","AZ","Community Supervision"
"A33-ASPC-E Browning CDU (A33)","AZ","DOC Inmate Services"
"A89-ASPC-E Meadows MHMT (A89)","AZ","DOC Inmate Services"
"A91-ASPC-E Cook Medical (A91)","AZ","DOC Inmate Services"
"A92-ASPC-E Browning (A92)","AZ","DOC Inmate Services"
"ASPC-E BROWNING RMHPII (A86)","AZ","DOC Inmate Services"
"ASPC-E BROWNING UNIT II (A87)","AZ","DOC Inmate Services"
"ASPC-E BROWNING UNIT III (A88)","AZ","DOC Inmate Services"
"ASPC-E Rynning Unit -A13 (A13)","AZ","DOC Inmate Services"
"ASPC-E-RYNNING UNIT (A37)","AZ","DOC Inmate Services"
"ASPC-L BARCHEY (L72)","AZ","DOC Inmate Services"
"ASPC-L BUCKLEY TMHP (L71)","AZ","DOC Inmate Services"
"ASPC-L Eagle Point MH (L73)","AZ","DOC Inmate Services"
"ASPC-L Eagle Point MHW (L74)","AZ","DOC Inmate Services"
"ASPC-L RAST L76 (L76)","AZ","DOC Inmate Services"
"ASPC-L STINER UNIT MDM I (L68)","AZ","DOC Inmate Services"
"ASPC-L STINER UNIT MDM II (L69)","AZ","DOC Inmate Services"
"ASPC-L STINER UNIT MHWT (L70)","AZ","DOC Inmate Services"
"ASPC-L SUNRISE MINORS INTAKE I (L66)","AZ","DOC Inmate Services"
"ASPC-L Sunrise Minors MHW Close  Mental Health (L75)","AZ","DOC Inmate Services"
"ASPC-PV Complex MHW (B82)","AZ","DOC Inmate Services"
"B64 - Phoenix - Quiet MHW (B64)","AZ","DOC Inmate Services"
"B78- ASPC-PV LUMLEY PC (B78)","AZ","DOC Inmate Services"
"B79 - ASPC-PHX GEORGE MHW (B79)","AZ","DOC Inmate Services"
"B81 -ASPC-PHX JOHN MHW (B81)","AZ","DOC Inmate Services"
"B86-ASPC-PV San Pedro (B86)","AZ","DOC Inmate Services"
"C63- Tucson - Rincon (C63)","AZ","DOC Inmate Services"
"C64- Tucson - Rincon (C64)","AZ","DOC Inmate Services"
"Central Arizona Correctional Facility (M70)","AZ","DOC Inmate Services"
"Central Arizona Correctional Facility","AZ","DOC Inmate Services"
"Central Arizona Correctional Facility - Detention (M71)","AZ","DOC Inmate Services"
"Douglas - Eggers - D17 (D17)","AZ","DOC Inmate Services"
"Douglas - Eggers - D21 (D21)","AZ","DOC Inmate Services"
"Douglas - Gila - D18 (D18)","AZ","DOC Inmate Services"
"Douglas - Gila Unit - D08 (D08)","AZ","DOC Inmate Services"
"Douglas - Mohave - D06 (D06)","AZ","DOC Inmate Services"
"Douglas - Mohave - D19 (D19)","AZ","DOC Inmate Services"
"Douglas - Mohave CDU - D11 (D11)","AZ","DOC Inmate Services"
